W-01,만족 
W-02,만족 
W-03,보류 
W-04,만족 
W-05,불만족 
W-06,보류 
W-07,보류 
W-08,보류 
W-09,불만족 
W-10,만족 
W-11,보류 
W-12,보류 
W-13,보류 
W-14,보류 
W-15,보류 
W-16,보류 
W-17,보류 
W-18,보류 
W-19,보류 
W-20,보류 
W-21,보류 
W-22,보류 
W-23,보류 
W-24,불만족 
W-25,만족 
W-26,보류 
W-27,보류 
W-28,보류 
W-29,만족 
W-30,보류 
W-31,보류 
W-32,보류 
W-33,보류 
W-34,보류 
W-35,만족 
W-36,보류 
W-37,보류 
W-38,보류 
W-39,불만족 
W-40,만족 
W-41,만족 
W-42,불만족 
W-43,불만족 
W-44,불만족 
W-45,보류 
W-46,만족 
W-47,불만족 
W-48,불만족 
W-49,불만족 
W-50,만족 
W-51,불만족 
W-52,불만족 
W-53,보류 
W-54,만족 
W-55,불만족 
W-56,만족 
W-57,만족 
W-58,만족 
W-59,보류 
W-60,만족 
W-61,보류 
W-62,보류 
W-63,불만족 
W-64,보류 
W-65,만족 
W-66,만족 
W-67,불만족 
W-68,보류 
W-69,보류 
W-70,만족 
W-71,보류 
W-72,불만족 
W-73,불만족 
W-74,불만족 
W-75,보류 
W-76,보류 
W-77,불만족 
W-78,불만족 
W-79,만족 
W-80,불만족 
W-81,보류 
W-82,보류 
